"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"8MHz";;;
2;"J5";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04_MountingPin";;;
3;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
4;"R18,R17,R15,R14,R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"2k";;;
5;"Q3,Q2";"SOT-23";2;"Q_NMOS_GSD 2N7002";;;
6;"JP1";"shortable_shorted";1;"SolderJumper_2_Bridged";;;
7;"SW1";"switch_K2-1187SQ-A4SW-06";1;"SW_Push";;;
8;"J4";"PinHeader_1x01_P1.27mm_Vertical_mod_no_courtyard_no_ref";1;"Conn_01x01";;;
9;"R16";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"390";;;
10;"Q1";"SOT-23";1;"Q_PMOS_GSD AO3401A";;;
11;"C20,C14,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1uF";;;
12;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24LC64";;;
13;"C19,C16,C15,C12,C11,C10,C4,C3,C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";10;"100nF";;;
14;"R12,R11,R10,R9,R6,R8,R7,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"62k";;;
15;"C18,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.7uF";;;
16;"J6";"PinHeader_1x06_P1.27mm_Vertical";1;"Conn_01x06";;;
17;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F401RETx";;;
18;"J3";"JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal";1;"Conn_Solenoid_Driver";;;
19;"H3,H2,H1";"tooling_hole";3;"MountingHole";;;
20;"J1";"membrane_connector";1;"Conn_01x25_Membrane";;;
21;"JP2";"shortable";1;"SolderJumper_2_Open";;;
22;"D6,D5,D4,D3,D2,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"LED";;;
23;"U3";"SOT-23-6_Handsoldering";1;"TPS2553DBVR";;;
24;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
25;"R5,R4,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"47";;;
26;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Ferrite_Bead";;;
27;"C17,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22uF";;;
28;"C9,C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10pF";;;
29;"C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10nF";;;
