Designator,Mid X,Mid Y,Rotation,Layer
"C1",37.330000,30.940000,0.000000,top
"C2",49.750000,27.960000,-90.000000,top
"C3",46.585000,15.710000,180.000000,top
"C4",38.050000,15.710000,180.000000,top
"C5",33.470000,21.360000,90.000000,top
"C6",31.240000,21.360000,90.000000,top
"C7",38.050000,13.738000,180.000000,top
"C8",31.890000,31.170000,180.000000,top
"C9",27.700000,27.640000,90.000000,top
"C10",26.700000,21.015000,90.000000,top
"C11",65.082000,20.088000,180.000000,top
"C12",64.574000,8.912000,0.000000,top
"C13",60.510000,20.088000,0.000000,top
"C14",65.082000,33.804000,180.000000,top
"C15",65.082000,31.772000,180.000000,top
"C16",65.082000,24.152000,180.000000,top
"C17",65.082000,22.120000,180.000000,top
"C18",46.057400,13.598300,0.000000,top
"C19",11.891080,17.194640,180.000000,top
"C20",18.516890,27.640000,-90.000000,top
"D1",16.015000,34.560000,0.000000,top
"D2",34.795000,34.560000,0.000000,top
"D3",53.280000,34.560000,0.000000,top
"D4",3.280000,24.220000,90.000000,top
"D5",26.875000,24.220000,0.000000,top
"D6",51.290000,24.220000,0.000000,top
"FB1",65.082000,35.836000,180.000000,top
"H1",1.488020,36.018880,0.000000,top
"H2",68.183340,35.990940,0.000000,top
"H3",2.054440,10.326780,0.000000,top
"J4",51.801660,31.703420,90.000000,top
"J5",58.910000,31.940000,180.000000,top
"J6",43.728220,31.703420,90.000000,top
"JP1",5.557000,34.566000,180.000000,top
"JP2",5.557000,32.026000,180.000000,top
"Q1",12.046800,23.339200,90.000000,top
"Q2",23.725000,21.040000,90.000000,top
"Q3",7.025000,19.990000,0.000000,top
"R2",21.723640,27.640000,-90.000000,top
"R3",38.886980,34.172300,-90.000000,top
"R4",41.147580,34.172300,-90.000000,top
"R5",48.874260,34.560000,180.000000,top
"R6",44.662940,34.560000,180.000000,top
"R7",68.130000,27.962000,90.000000,top
"R8",53.652000,21.358000,180.000000,top
"R9",17.954840,31.116680,0.000000,top
"R10",54.939780,12.214000,90.000000,top
"R11",32.961160,13.166500,-90.000000,top
"R12",50.832600,12.267340,90.000000,top
"R13",17.216800,14.372200,-90.000000,top
"R14",20.361320,14.372200,-90.000000,top
"R15",23.505840,14.372200,-90.000000,top
"R16",15.310140,27.640000,90.000000,top
"R17",23.725000,17.790000,180.000000,top
"R18",12.375000,19.865000,0.000000,top
"SW1",18.200000,21.115000,-90.000000,top
"U1",64.320000,15.008000,180.000000,top
"U2",41.920000,23.330000,0.000000,top
"U3",65.082000,27.962000,-90.000000,top
"U4",57.272500,25.470000,180.000000,top
"U5",10.721240,13.094280,0.000000,top
"Y1",31.810000,27.600000,180.000000,top
